artifact_type,source,artifact_path,size_bytes,sha256_full,restore_note
bundle,claude/data/c1-orphan-floor,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/claude_data_c1-orphan-floor.bundle,6785,417970dfad18be7831a3db44f6bf38e148569f47e42449b2f85dcf092175d9dc,prereq=origin/main@31d923a
bundle,claude/data/nadac-pricing-revival,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/claude_data_nadac-pricing-revival.bundle,10414,496fac68c1902de4b12bae6f23267391e5b1b069dcb199002872accc4b227db4,prereq=origin/main@31d923a
bundle,claude/learning-c1-c6-prompt-source-accuracy,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/claude_learning-c1-c6-prompt-source-accuracy.bundle,5472,d55dbfa92b6ec1f58bc4ce33c42aca5afe2fc395e487549278012ddef8f46d11,prereq=origin/main@31d923a
bundle,claude/synth/gipr-phase2-evidence-grading,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/claude_synth_gipr-phase2-evidence-grading.bundle,3697,1fc17ad282a40075b8daa2973b4a5801adf40dfe304de4a328ee78177cbc830d,prereq=origin/main@31d923a
bundle,worktree-agent-a132a4463a599cdb4,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-agent-a132a4463a599cdb4.bundle,7411,2e249b472f1fdcf4d2da6754d872c3071871d4f77f79193815093aeb85cc0d8c,prereq=origin/main@31d923a
bundle,worktree-agent-a242e4b1900626b60,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-agent-a242e4b1900626b60.bundle,4970,79e6b7473f45153fb7abaa6b3f7e04b7639fce4c8caaa6f8661f032ee87add22,prereq=origin/main@31d923a
bundle,worktree-agent-aa248b2734d497ede,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-agent-aa248b2734d497ede.bundle,5711,43dbda2faa7b8c61a07ea4b369fd2a8a36b669b5c4f4e3355626e5a81788f21c,prereq=origin/main@31d923a
bundle,worktree-agent-ad45c6412c39d25e0,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-agent-ad45c6412c39d25e0.bundle,14625,323837fb965fa5fe69ccf1406af323a09cf87eb8b352542772c6f69ae1c8da1c,prereq=origin/main@31d923a
bundle,worktree-agent-ad53c644c3453a219,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-agent-ad53c644c3453a219.bundle,8991,1a9af06e8713424709d09798e13011a46ef5499f8f8b019af2d7c83ecc30c7e4,prereq=origin/main@31d923a
bundle,worktree-agent-ad99be88bc6060df2,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-agent-ad99be88bc6060df2.bundle,7697,d593548935f40b3fd78243f1c6a659e42d0f1dbee726ac1851bb061bf1695f84,prereq=origin/main@31d923a
bundle,worktree-data+nadac-pricing-revival,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-data_nadac-pricing-revival.bundle,10416,4480394e00d952963966dd344557cc59c4918a3052033255d25577a0934780ac,prereq=origin/main@31d923a
bundle,worktree-data+source-coverage-freshness,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-data_source-coverage-freshness.bundle,7573,b69ab6ed87b3017635392a89ba8860e9b17c297bada3229e2ae42e3b66fbb848,prereq=origin/main@31d923a
bundle,worktree-platform-p3-citations,C:/Users/kapil/Documents/mz-handoff-preservation/bundles/worktree-platform-p3-citations.bundle,7354,b7a943ac6fc68fa171f76cd9680550b4d521c7dd8635032332b7e000dbfe6952,prereq=origin/main@31d923a
worktree-staged-patch,C:/Users/kapil/Documents/market_zero (refs/heads/claude/handoff/h0-repository-transfer),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero (refs/heads/claude/handoff/h0-repository-transfer),(see preservation/worktrees/<name>/unstaged.patch),1646,ed202c28f4fffe1ef98f86cce8cc26f7b37baedd59b4d28c73f3cc7a77faa26b,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero (refs/heads/claude/handoff/h0-repository-transfer),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a681a13b (refs/heads/worktree-agent-a681a13b),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a681a13b (refs/heads/worktree-agent-a681a13b),(see preservation/worktrees/<name>/unstaged.patch),803,a0612d05c98c44720ce86c5ec6821d0b42e1f7d28fd297ae3965411b89091666,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a681a13b (refs/heads/worktree-agent-a681a13b),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6a09cbe (refs/heads/worktree-agent-a6a09cbe),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6a09cbe (refs/heads/worktree-agent-a6a09cbe),(see preservation/worktrees/<name>/unstaged.patch),439,6a6b6573e35f879740a65178af0ecc0127973e9999f994f206480050bf2f30fe,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6a09cbe (refs/heads/worktree-agent-a6a09cbe),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6f7561a (refs/heads/worktree-agent-a6f7561a),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6f7561a (refs/heads/worktree-agent-a6f7561a),(see preservation/worktrees/<name>/unstaged.patch),30649,9ffc5848472d407a5e060e1e6558e8190ceb1038b8e7db521beb3bb3ba7c31a9,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a6f7561a (refs/heads/worktree-agent-a6f7561a),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c976142c417e1b3 (refs/heads/worktree-agent-a7c976142c417e1b3),C:/Users/kapil/Documents/mz-handoff-preservation,24729,c08130259946d50b5d67216b94d19d7b8a9f07eb372c458e77d8a62800fb78ec,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c976142c417e1b3 (refs/heads/worktree-agent-a7c976142c417e1b3),(see preservation/worktrees/<name>/unstaged.patch),0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7c976142c417e1b3 (refs/heads/worktree-agent-a7c976142c417e1b3),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7df4042 (refs/heads/worktree-agent-a7df4042),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7df4042 (refs/heads/worktree-agent-a7df4042),(see preservation/worktrees/<name>/unstaged.patch),8880,3968f04ea2a83f334ba1728bb6e72b2971cda347147c2b8055a7823ce0d08c1f,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a7df4042 (refs/heads/worktree-agent-a7df4042),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8d8723a (refs/heads/worktree-agent-a8d8723a),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8d8723a (refs/heads/worktree-agent-a8d8723a),(see preservation/worktrees/<name>/unstaged.patch),3295,114d6236fac9b17d9c8713cc0390d2b95ef8adaf80b5bb2c701e7cb731e98100,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a8d8723a (refs/heads/worktree-agent-a8d8723a),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9935af2 (refs/heads/worktree-agent-a9935af2),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9935af2 (refs/heads/worktree-agent-a9935af2),(see preservation/worktrees/<name>/unstaged.patch),1885,07e5763ce51f05586564025c45770e5cb903e609638990d2bec29e4b4b31b2b7,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9935af2 (refs/heads/worktree-agent-a9935af2),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a996009b (refs/heads/worktree-agent-a996009b),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a996009b (refs/heads/worktree-agent-a996009b),(see preservation/worktrees/<name>/unstaged.patch),7498,61fee26099ac78829f39a6976dcea164f927ee183fdf68004f3bdfd7e87bb7ad,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a996009b (refs/heads/worktree-agent-a996009b),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9d0b812 (refs/heads/worktree-agent-a9d0b812),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9d0b812 (refs/heads/worktree-agent-a9d0b812),(see preservation/worktrees/<name>/unstaged.patch),1389,0e5500a93c46682629f0f873155dc318d001226196cc94dfaa439fccd21ef07b,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-a9d0b812 (refs/heads/worktree-agent-a9d0b812),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa61f05e (refs/heads/worktree-agent-aa61f05e),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa61f05e (refs/heads/worktree-agent-aa61f05e),(see preservation/worktrees/<name>/unstaged.patch),5078,29c11f62b8f5c9abcdf6a8b5e7d907a3bd4cc9b4133cdf5893c637cbb60bb738,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aa61f05e (refs/heads/worktree-agent-aa61f05e),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aab2c28e (refs/heads/worktree-agent-aab2c28e),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aab2c28e (refs/heads/worktree-agent-aab2c28e),(see preservation/worktrees/<name>/unstaged.patch),22589,58cfc4ec6c6f54b557bfdec568dc629ab1eba5179bc41830b49ea2a22596d17f,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aab2c28e (refs/heads/worktree-agent-aab2c28e),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aad5dc9e (refs/heads/worktree-agent-aad5dc9e),C:/Users/kapil/Documents/mz-handoff-preservation,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aad5dc9e (refs/heads/worktree-agent-aad5dc9e),(see preservation/worktrees/<name>/unstaged.patch),13468,99e06a39674c0c3fe5d594b142196829d925eaf6bc0c7b54a2c6e4548a927e1e,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-aad5dc9e (refs/heads/worktree-agent-aad5dc9e),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
worktree-staged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-abe3bfcaa0ef17aa9 (refs/heads/worktree-agent-abe3bfcaa0ef17aa9),C:/Users/kapil/Documents/mz-handoff-preservation,4612,82d3a07a3b60fc63f3d3adbf58995f687ab263ac8ad9dad81af0e8e5387d9d6c,git apply --binary staged.patch
worktree-unstaged-patch,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-abe3bfcaa0ef17aa9 (refs/heads/worktree-agent-abe3bfcaa0ef17aa9),(see preservation/worktrees/<name>/unstaged.patch),0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,git apply --binary unstaged.patch
worktree-untracked-archive,C:/Users/kapil/Documents/market_zero/.claude/worktrees/agent-abe3bfcaa0ef17aa9 (refs/heads/worktree-agent-abe3bfcaa0ef17aa9),(see preservation/worktrees/<name>/untracked.tgz),0,-,tar xzf untracked.tgz
